,NAME,POSITION,EDUCATION
327,"Jansen, Daniel (2003) Civil and Environmental Engineering",Professor,"B.S., University of California, San Diego, 1988; Ph.D., Northwestern University, 1996. Registered Professional Engineer, California."
328,"Janzen, David S. (2006) Computer Science",Professor,"B.A., Tabor College, 1990; M.S., University of Kansas, 1993; Ph.D., 2006."
329,"Jasbinsek, John J. (2008) Physics",Professor,"B.S., California State Polytechnic University, Pomona, 1992; M.A., University of California, Santa Barbara, 1994; Ph.D., University of Wyoming, 2008."
330,"Jeffery, Elizabeth (2017) Physics",Assistant Professor,"B.S., Brigham Young University, 2003; M.S. University of Texas at Austin, 2005; Ph.D., University of Texas at Austin, 2009."
331,"Jenkins, Ryan (2015) Philosophy",Associate Professor,"B.A., Florida State University, 2009; Ph.D., University of Colorado, 2014."
332,"Jensen, Jessica L. (2017) School of Education",Assistant Professor,"B.A., University of Iowa, 2008; M.A., Viterbo University, La Crosse, 2010; Ph.D., University of Iowa, 2017."
333,"Jin, Xiaomin (2004) Electrical Engineering",Professor,"B.S., Tsinghua University, Beijing, China, 1992; M.S., 1996; Ph.D., University of Illinois at Urbana-Champaign, 2001."
334,"Jipson, Jennifer (2005) Psychology and Child Development",Professor and Department Chair,"B.A., Smith College, 1993; M.S., University of California, Santa Cruz, 1996; Ph.D., 2000."
335,"Johnston, Scott C. (2008) Physics",Professor,"B.S., Stanford University, 1999; M.S., 2000; Ph.D., University of California, Santa Barbara, 2006."
336,"Johnston, Liz B. (2010) Social Sciences",Associate Professor,"B.S., Winthrop College, SC, 1978; M.S.W., Smith College, 1984; Ph.D., Smith College, 2013."
337,"Jones, Dane R. (1976) Chemistry and Biochemistry",Professor,"B.A., University of Utah, 1969; Ph.D., Stanford University, 1974."
338,"Jones, Eric (2012) Chemistry and Biochemistry",Associate Professor,"B.S., Case Western Reserve University, Cleveland, 2000; Ph.D., 2006"
339,"Jones, R. Thomas (2003) Architecture",Professor Emeritus,"B.Arch., Cornell University, 1969. AIA, Registered Architect, California."
340,"Jones, Terry L. (1998) Social Sciences",Professor (FERP),"B.A., University of California, Santa Cruz, 1978; M.A., Sonoma State University, 1982; M.A., University of California, Davis, 1989; Ph.D., 1995."
341,"Jones, Barry (2001) Construction Management",Professor Emeritus (FERP),"M.Sc., University of Aston, U.K., 1980; Ph.D., University of Southampton, U.K., 1999. Chartered Builder; Fellow The Chartered Institute of Building (F.CIOB); Fellow American Society of Civil Engineers (F.ASCE), Senior Fulbright Scholar."
342,"Jovanovic, Jasna (2005) Psychology and Child Development",Professor and Director of University Honors Program,"B.S., University of Illinois, 1985; M.S., Pennsylvania State University, 1987; Ph.D. 1991."
343,"Jung, Stephanie (2014) Food Science and Nutrition",Professor and Department Head,"B.S., University of Sciences, Metz, France, 1995; M.S., National Polytechnic Institute of Lorraine, Nancy, France, 1996; Ph.D., National School for Engineers in Agricultural and Food Science, Nantes,France, 2000."
344,"Kaarakka, Lilli (2021) Natural Resources Management and Environmental Sciences",Assistant Professor,"B.S., University of Helsinki, 2011; M.Sc. University of Helsinki and Swedish University of Agricultural Sciences-dual degree 2012-13, D.Sc., University of Helsinki, 2018."
345,"Kachlakev, Damian I. (2000) Civil and Environmental Engineering",Professor,"B.S., University of Architecture, Civil Engineering and Geodesy, Sofia, Bulgaria, 1986 and 1988; M.S., 1988; Ph.D., Oregon State University, Corvallis, 1997. Registered Professional Engineer, Bulgaria."
346,"Kaczorowski, Jessica (2017) Psychology and Child Development",Associate Professor,"B.A., University of California, San Diego, 2005; M.A., University of North Carolina at Greensboro, 2008; Ph.D., 2012."
347,"Kane, Steven (1994) School of Education",Professor Emeritus,"B.A., California State Polytechnic University, Pomona, 1985; M.A., University of California, Los Angeles, 1989; Ph.D., 1993. Licensed Psychologist, California."
348,"Kang, Iksoon (2016) Animal Science",Professor,"B.S., Kon-Kuk University, Seoul, Korea, 1988; M.S., California State University, Fresno, 1991; Ph.D., Texas A M University, 1996."
349,"Kantorowski, Eric J. (2004) Chemistry and Biochemistry",Professor,"B.S., California State University, Fullerton, 1993; Ph.D., University of California, Davis, 1998."
350,"Kasper, Eric P. (1997) Civil and Environmental Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1991; M.S., University of California, Davis, 1992; Ph.D., University of California, Berkeley, 1997. Registered Professional Engineer, California."
351,"Kathuria, Ajay (2014) Industrial Technology and Packaging",Associate Professor,"B.S., GJUST, India, 2002; M.S., Michigan State University, 2007; Ph.D., Michigan State University, 2013."
352,"Kato, Goro C. (1981) Mathematics",FERP,"B.S., Shizuoka University, Japan, 1972; M.A., West Virginia University, 1974; Ph.D., University of Rochester, 1979."
353,"Katona, Thomas M. (2014) Biomedical Engineering",Associate Professor,"B.S., Westmont College, 1996; M.S., University of California, Santa Barbara, 2000; Ph.D., University of California Santa Barbara, 2003; M.B.A., University of South Carolina, 2007."
354,"Kauffmann, Krista J. (2012) English",Associate Professor,"B.A., Goshen College, 1999; M.A., University of Wisconsin-Madison, 2001; Ph.D., 2009."
355,"Kaul, Anton (2003) Mathematics",Professor,"B.S., University of California, Davis, 1994; M.S., Oregon State University, 1996; Ph.D., 2000."
356,"Kazerouni, Ayaan M. (2020) Computer Science",Assistant Professor,"B.S., University of West Georgia, USA, 2015; Ph. D., Virgina Tech, 2020"
357,"Keadle, Sarah K. (2016) Kinesiology and Public Health",Associate Professor,"B.S., Lake Forest University, 2006; M.S., University of Massachusettes, Amherst, 2008; Ph.D., University of Massachusettes, Amherst, 2012; MPH, Harvard School of Public Health, 2013."
358,"Kean, Andrew J. (2004) Mechanical Engineering",Professor,"B.E., The Cooper Union, 1997; M.S., University of California, Berkeley, 1999; Ph.D., 2003."
359,"Kearns, Timothy J. (1985) Computer Science",Associate Professor,"B.A., Boston College, 1969; M.S., University of Notre Dame, 1970; Ph.D., 1976."
360,"Keeling, Elena L. (1997) Biological Sciences",Professor,"B.S., Yale University, 1989; Ph.D., University of California, San Francisco, 1996."
361,"Keen, Aaron W. (2002) Computer Science",Professor,"B.S., University of California, Davis, 1997; M.S., 2000; Ph.D., 2002."
362,"Keese, James R. (2003) Social Sciences",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1987; M.A., American Graduate School of International Management, 1989; Ph.D., University of Arizona, 1996."
363,"Keesey, Douglas (1988) English",Professor and Department Chair,"B.A., University of California, Berkeley, 1982; M.A., 1984; Ph.D., Princeton University, 1988."
364,"Keif, Malcolm G. (1989) Graphic Communication",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1986; M.A., California State University, Long Beach, 1989; Ph.D., University of Missouri, 1995."
365,"Kelting, Scott D. (2007) Construction Management",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2000; M.S., 2003; Ed.D., University of California Santa Barbara, 2011. Certified Green Professional (CGP), Certified Aging-in-Place Specialist (CAPS), LEED Accredited Professional (LEED AP)."
366,"Kelting, Mary (2012) Orfalea College of Business",Assistant Dean,"B.A., University of Massachusetts Amherst, 1996; M.B.A., Pepperdine University, 2001."
367,"Kennelly, Brian (2006) World Languages and Cultures",Professor,"B.A., University of California, Davis, 1986; M.A., University of Virginia, 1989; Ph.D., New York University, 1996."
368,"Khosmood, Foaad (2011) Computer Science, Computer Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1999; M.S., 2005; Ph.D., University of California, Santa Cruz, 2011."
369,"Kingsbury, Kevin B. (1996) Chemistry and Biochemistry",Professor,"B.S., College of William and Mary, 1986; Ph.D., Stanford University, 1993."
370,"Kirby, David A. (2019) Interdisciplinary Studies in the Liberal Arts",Professor and Department Chair,"B.S.,University of Illinois-Champaign/Urbana; Ph.D, University of Maryland-College Park"
371,"Kirk, Colleen M. (2001) Mathematics",Professor,"B.S., Stanford University, 1994; M.S., Southern Illinois University, Carbondale, 1995; Ph.D., Northwestern University, 1999."
372,"Kiste, Alan L. (2011) Chemistry and Biochemistry",Professor,"B.S., Calvin College, 1993; Ph.D., University of Michigan, 2009."
373,"Kitts, Christopher L. (1995) Biological Sciences",Professor Emeritus (FERP),"B.Sc., University of Auckland, New Zealand, 1984; Ph.D., University of California, Santa Cruz, 1992."
374,"Klay, Jennifer L. (2006) Physics",Professor and Department Chair,"B.S., University of California, Los Angeles, 1994; M.S., University of California, Davis, 1998; Ph.D., 2001."
375,"Kline, Andrew (2017) Construction Management",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2011; M.B.A., Sam Houston State University, 2017; LEED Green Associate."
376,"Klisch, Stephen M. (2001) Mechanical Engineering",Professor,"B.S., University of Virginia, 1991; M.S., 1994; Ph.D., University of California, Berkeley, 1999."
377,"Knight, Charles A. (2003) Biological Sciences",Professor,"B.S., Western Washington University, 1996; Ph.D., Stanford University, 2002."
378,"Kolegraff, Stacy (2009) Construction Management",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2002; M.A. Management, University of Redlands School of Business 2008."
379,"Kolkailah, Faysal (1984) Aerospace Engineering",Professor Emeritus (FERP),"BS in Aerospace Engineering from Cairo University (Egypt) in 1969, MS in Aerospace Engineering from University of Cincinnati (Ohio) in 1978 and my Ph.D in Mechanical Engineering from Louisiana State University, LSU, (Baton Rouge) in 1982."
380,"Kolluru, Gita R. (2008) Biological Sciences",Professor,"B.Sc., Queen’s University, Kingston, Canada, 1991; M.A., University of California, Riverside, 1994; Ph.D., 1999."
381,"Kolodziejski, Lauren R. (2014) Communication Studies",Associate Professor and Department Chair,"B.A.,B.S., Winthrop University, 2004; M.A., University of Colorado, Boulder, 2010; Ph.D., University of Washington, 2014."
382,"Krifka, Laura (2018) Art and Design",Associate Professor,"B.F.A., California Polytechnic State Univeristy, San Luis Obispo, 2008; M.F.A., University of California, Santa Barbara, 2010."
383,"Kuehn, Joseph (2022) Economics",Associate Professor,"B.S., UCLA, 2009; M.A., 2011; Ph.D., 2015."
384,"Kuhn-Choi, Don H. (2003) Architecture",Professor,"A.B., Princeton University, 1988; M.Arch., Rice University, 1993; Ph.D., U.C. Berkeley, 2003."
385,"Kurfess, Franz J. (2000) Computer Science",Professor,"M.S., Technical University of Munich, 1984; Ph.D., 1990."
386,"Kuriabova, Tatiana (2014) Physics",Associate Professor,"Honors Diploma in Physics, Ivanovo State University, Ivanovo, Russia, 1996; M.S., University of California, Los Angeles, 2001; Ph.D., 2008."
387,"Kuwahara, Sara S. (2022) BioResource and Agricultural Engineering",Assistant Professor,"B.S., University of Cornell, 2000; M.S. University of Arizona, Tucson 2002; Ph.D. University of Arizona, Tucson, 2009."
388,"Laiho, Lily (2007) Biomedical Engineering",Professor and Department Chair,"B.S., Stanford University, 1995; M.S., 1996; Ph.D., Massachusetts Institute of Technology, 2004."
389,"Lambertz-Berndt, Megan M. (2015) Communication Studies",Associate Professor,"B.A., Delaware State University, 2009; M.A., University of Nevada Las Vegas, 2011; Ph.D., University of Wisconsin-Milwaukee, 2016."
390,"Lammert, Amy (2008) Food Science and Nutrition",Professor,"B.S., Michigan State University, 1991; M.S., University of Illinois, 1993; Ph.D., 1997."
391,"Lange, Karen F. (1989) Architecture",Professor,"B.Arch., California Polytechnic State University, San Luis Obispo, 1980; M.Arch., Columbia University, 1982. Registered Architect, California."
392,"Langner, Carrie A. (2008) Psychology and Child Development",Professor,"B.A., University of Michigan, 1997; Ph.D., University of California, Berkeley, 2005."
393,"Lappe, Martine Danielle (2018) Social Sciences",Assistant Professor,"BA, University of California-San Diego; PhD, University of California-San Francisco."
394,"Lathrop, Amanda A. (2009) Food Science and Nutrition",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1999; M.S., Purdue University, 2002; Ph.D., 2005."
395,"Latner, Michael (2008) Political Science",Professor,"B.A., California State University, Chico, 1995; M.A., University of California, Irvine, 2006; Ph.D., 2008."
396,"Laursen, Peter T. (2007) Architectural Engineering",Professor,"M.S., University of California, San Diego; Ph.D., University of Auckland, New Zealand, 2003. Registered Civil Engineer, California."
397,"Laver, Gary D. (1998) Psychology and Child Development",Professor Emeritus,"B.A., University of California, Santa Cruz, 1983; M.A., Claremont Graduate University, 1987; Ph.D., 1992."
398,"Lawson, John W. (2009) Architectural Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1983; M.S., Stanford University, 1986. Registered Structural Engineer and Civil Engineer, California, Arizona."
399,"Lease, Terry (2019) Wine and Viticulture",Professor,"B.S., Wake Forrest University, 1983; M.Tax Baylor University, 1985, PhD. University of Southern California 1996"
400,"Lecat, Benoit (2015) Wine and Viticulture",Professor and Department Head,"M.S., Graduate School of Business Students, KULeuven, Belgium, 2000; Ph.D., FUCAM, branch of LOUVAIN School of Management, UCL Campus of Mons, Belgium, 2006. Level 4 DipWSET"
401,"Lee, Linda (2009) Psychology and Child Development",Professor,"B.A., University of California, Los Angeles, 1999; M.Ed., Harvard Graduate School of Education, 2000; Ph.D., University of California, Los Angeles, 2007."
402,"Lee, Jean L. (2014) Materials Engineering",Associate Professor,"S.B., Massachusetts Institute of Technology, 1988; Ph.D. Cornell University, 1996."
403,"Lee, Jess (2020) Social Sciences",Assistant Professor,"B.A. in Gender Studies/2010/Mount Holyoke College;M.A. in Liberal Studies/2014/City University of New York Graduate Center;M.A. in Sociology/2017/University of California, Irvine;Ph.D. in Sociology/2020/University of California, Irvine"
404,"Lehr, Corinne (2006) Chemistry and Biochemistry",Professor,"B.Sc., University of Calgary, 1994; Ph.D., University of British Columbia, 2003."
405,"Lehr, Jane L. (2007) Ethnic Studies, Women's, Gender and Queer Studies",Professor,"B.A., University of Rochester, 1997; M.S., Virginia Polytechnic Institute and State University, 2002; Ph.D., Virginia Polytechnic Institute and State University, 2006."
406,"Leithner, Anika (2006) Political Science",Professor,"Vordiplom, Friedrich-Alexander-Universität Erlangen-Nuremberg, Germany, 1999; M.A., University of Colorado, 2002; Ph.D., 2006."
407,"Lema, Sean C. (2011) Biological Sciences",Professor,"B.S., University of California, Davis, 1999; M.S., 2001; Ph.D., 2004."
408,"Lemieux, Patrick (2007) Mechanical Engineering",Professor,"B.Sc.Eng., University of New Brunswick, Fredericton, Canada, 1991; M.Sc., Cranfield Institute of Technology, Bedford, England, 1992; Ph.D., California Institute of Technology, 1999."
409,"Lent, Adrienne (2022) Kinesiology and Public Health",Assistant Professor,"BS., University of California Santa Cruz, 2010; MPH and MBA, Claremont Graduate University, 2014; DrPH, University of Arizona, 2020."
410,"Lepore, Jason (2007) Economics",Professor,"B.A., University of California, Irvine, 2002; M.A., University of California, Davis, 2003; Ph.D., 2007."
411,"Lertwachara, Kevin (2004) Management, HR, and Information Systems",Professor,"B.S., King Monkut’s Institute of Technology, Thonburi, Bangkik, Thailand, 1994; M.B.A., Westminster College, 1996; Ph.D., University of Connecticut, 2004."
412,"Liddicoat, Albert (2002) Electrical Engineering",Professor,"B.S. EL, Cal Poly, SLO, 1989; M.S. EE, Stanford University, 1997; M.S. IE Engineering Management, Stanford University 1999, Ph.D. EE, Sanford University, 2002."
413,"Liese, Jeffrey E. (2008) Mathematics",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2000; M.A., University of California, San Diego, 2004; Ph.D., 2008."
414,"Lin, Patrick (2007) Philosophy",Professor,"B.A., University of California, Berkeley, 1990; M.A.,University of California, Santa Barbara, 1995; Ph.D. 1997."
415,"Lin, Joyce T. (2013) Mathematics",Associate Professor,"B.A., University of Virginia, 2004; Ph.D., University of North Carolina at Chapel Hill, 2009."
416,"Lin, Kevin (2014) Experience Industry Management",Associate Professor,"B.A., Bejing International Studies University, 2008; M.A., Califorinia State University, Chico; Ph.D., Pennsylvania State University, 2014."
417,"Liu, Bo (2014) BioResource and Agricultural Engineering",Associate Professor,"B.S., Northeastern University, China, 2009; M.S., Colorodo State University, Pueblo, 2011; M.S., University of Missouri, Columbia, 2013; Ph.D., University of Missouri, Columbia, 2014."
418,"Livingston, Peter A. (2016) BioResource and Agricultural Engineering",Professor and Department Head,"B.S., University of Arizona, 1981; MS, Colorado State University, 1982; PhD, University of Arizona 2013. Registered Agricultural Engineer, AZ."
419,"Liwanag, Heather (2015) Biological Sciences",Associate Professor,"B.S., University of California, San Diego, 2001; Ph.D., University of California, Santa Cruz, 2008."
420,"Lloyd-Moffett, Stephen (2005) Philosophy",Professor,"B.A., Claremont McKenna College, 1994; M.Th., St. Vladimir’s Orthodox Seminary, 2004; M.A., University of California, Santa Barbara, 2001; Ph.D., 2005."
421,"Loberg, Molly J. (2007) History",Professor,"B.A., Pacific Lutheran University, 1998; M.A., Princeton University, 2002; Ph.D., 2006."
422,"LoCascio, James Gaspare (1981) Mechanical Engineering",Professor Emeritus (FERP),"B.S., Newark College of Engineering, 1970; M.S., University of California, Santa Barbara, 1971; Ph.D., 1988."
423,"Lohmar, Bryan (2022) Agribusiness",Professor and Department Head,"B.A., University of Minnesota, 1987; Ph.D., University of California, Davis, 2000."
424,"London, Blair (1993) Materials Engineering",Professor Emeritus (FERP),"B.S., Drexel University, 1981; M.S., Stanford University, 1983; Ph.D., 1986."
425,"Long, Todd (2004) Philosophy",Professor,"B.A., University of Southern Mississippi, 1986; M.A., 1995; M.A., University of Wales, 2000; M.A., University of Rochester, 2002; Ph.D., 2003."
426,"Lopez, Susana A (2022) Psychology and Child Development",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2004; M.S., California Polytechnic State University, San Luis Obispo,2006; Ph.D., University of California, Santa Barbara, 2014."
427,"Lopus, Sara E. (2017) Social Sciences",Associate Professor,"B.S., University of California, Berkeley, 2005; M.S., University of California, Davis, 2009; Ph.D., University of California, Berkeley, 2015."
428,"Lucas, Michael Austin (1998) Architecture",Professor Emeritus,"B.Arch., University of Cincinnati, 1979; M.Arch, Morgan State University, 1995. Registered Architect, Maryland."
429,"Lund, Ulric J. (2001) Statistics",Professor,"B.S., University of California, San Diego, 1990; M.S., University of California, Santa Barbara, 1993; Ph.D., 1998."
430,"Lundquist, Tryg J. (2006) Civil and Environmental Engineering",Professor,"B.A., University of California, Berkeley, 1989; M.S., 1992; Ph.D., 2006. Registered Civil Engineer, California."
431,"Lupo, Christopher (2008) Computer Science",Professor and Department Chair,"B.S., California State University, Fresno, 1997; M.S., University of California, Davis, 2007; Ph.D., 2008."
432,"Lutz, Benjamin (2018) Mechanical Engineering",Assistant Professor,"B.S., Virginia Tech, 2011; M.Eng., Virginia Tech, 2016; Ph.D., Virginia Tech, 2017"
433,"Lynch, Joseph (2001) Philosophy",Professor Emeritus (FERP),"B.A., Virginia Commonwealth University, 1982; M.A., Claremont Graduate School, 1985; Ph.D., 1989."
434,"Lyons, Rachael (2022) Animal Science",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2011; D.V.M., UC Davis, 2015."
435,"Ma , Ruoxi (2018) Graphic Communication",Assistant Professor,"B.S., Qingdao University of Science of Technology, 2010; M.S., Xi'an University of Technology, 2012; Ph.D., Western Michigan University - Kalamazoo, 2018."
436,"MacDougall, Neal A. (1997) Agribusiness",Professor,"B.A., Williams College, 1984; Ph.D., University of California, Berkeley, 1999."
437,"Macedo, Jose (2002) Industrial and Manufacturing Engineering",Professor Emeritus (FERP),"B.S., Catholic University of Peru, Peru, 1982; M.S., University of California, Berkeley, 1984; Ph.D., Lehigh University, 1991. Registered Professional Engineer, Texas."
438,"Machamer, Joshua T. (2003) College of Liberal Ars",Associate Dean,"B.A., Whittier College, 1993; M.F.A., Pennsylvania State University, 2000."
439,"Mackin, Thomas J. (2005) Mechanical Engineering",Professor,"B.S., The Pennsylvania State University, 1980; M.S., 1987; Ph.D., 1991."
440,"Macro, Kenneth L. (2000) Graphic Communication",Professor,"B.A., Pennsylvania State University, University Park, 1993; M.A., The University of Akron, 2000; Ph.D., Walden University, 2011."
441,"Maddren, Jesse (1999) Mechanical Engineering",Professor Emeritus (FERP),"B.S., University of California, Santa Barbara, 1985; M.S., 1988; Ph.D., 1994. Registered Professional Engineer, California."
442,"Maerz, Addison (Assistant Professor) Management, HR, and Information Systems",2022,"B.A., University of Calgary, 2015; M.S., Queen's University (Canada), 2016; Ph.D., 2021."
443,"Mahadev, Sthanu (2016) Mechanical Engineering",Assistant Professor,"B.S., Anna University, Chennai India, 2008, M.S., The University of Texas at Arlington, 2011, Ph.D., 2015."
444,"Main, Kelly D. (2007) City and Regional Planning",Associate Professor,"B.A., University of California, Davis, 1982; M.A., Brown University, 1983; Ph.D., University of California, Los Angeles, 2007."
445,"Maitland, Padma (2019) Architecture",Assistant Professor,"B.A., University of California, Berkeley, 2005; M.Arch., Princeton University, 2009; M.A., South and Southeast Asian Studies, 2016, Ph.D., Architectural History, Theory and Society, University of California, Berkeley, 2018."
446,"Malama, Bwalya (2014) Natural Resources Management and Environmental Sciences",Associate Professor,"B.S., University of Arizona, 1999; M.S., University of Arizona, 2001; Ph.D., University of Arizona, 2006."
447,"Manjarin, Rodrigo (2015) Animal Science",Associate Professor,"D.V.M., University of Leon, Spain, 2004; M.S., Michigan State University, 2008; Ph.D., 2011; Ph.D., University of Leon Veterinary School, 2013."
448,"Marchbanks, Paul (2007) English",Professor,"B.S., Centre College of Kentucky, 1993; M.A., University of North Carolina at Chapel Hill, 2000; Ph.D., 2006."
449,"Marijuan, Silvia (2015) World Languages and Cultures",Associate Professor,"Licenciatura en Letras, University of Buenos Aires, 2009; M.S., Georgetown University, 2012; Ph.D., 2015."
450,"Marlow (Buchanan), Colleen A. (2014) Physics",Associate Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1999; Ph.D., University of Oregon, 2005."
451,"Marshall, David D. (2004) Aerospace Engineering",Professor and Department Chair,"B.S., Worcester Polytechnic Institute, 1994; M.S., Georgia Institute of Technology, 1995; Ph.D., 2003."
452,"Martinez, Andres W. (2010) Chemistry and Biochemistry",Professor,"B.S., Stanford University, 2003; Ph.D., Harvard University, 2009."
453,"Martinez, Charmaine (2006) Art and Design",Associate Professor,"B.F.A., University of Notre Dame, 1993; M.F.A., University of Wisconsin-Madison, 2003."
454,"Martinez, Nathaniel W. (2013) Biological Sciences",Associate Professor,"B.S., University of California, Santa Cruz, 2002; Ph.D. Cornell University, 2010; M.D., 2012."
455,"Martinez, Shanae A. (2020) English",Assistant Professor,"B.A. University of California, Davis, 2008; M.A., University of Wisconsin-Milwaukee, 2012; Ph.D., University of Wisconsin-Milwaukee, 2019."
456,"Mase, Tom (2007) Mechanical Engineering",Professor,"B.S.M.E., Michigan State University, 1980; M.S.M.E., University of California, Berkeley, 1982; Ph.D., 1987."
457,"Mastoridis, Themistoklis (2013) Physics",Associate Professor,"B.S., Brandeis in Physics, 2003; M.S., Stanford University in Electrical Engineering, 2005; Ph.D. Stanford University in Electrical Engineering, 2010."
458,"Maurice, Stefanee (2019) Kinesiology and Public Health",Assistant Professor,"B.A., University of California, Riverside, 2010; M.A., California State University, Northridge, 2013; M.A., West Virginia University, 2016; Ph.D., West Virginia University, 2019"
459,"Mayer, Hans (2019) Mechanical Engineering",Assistant Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2003; M.S., Carnegie Mellon University, Pittsburgh, 2005; Ph.D., University of California, Santa Barbara, 2016."
460,"McCormick, Kathryn E. (2003) Art and Design",Professor,"B.S., University of Cincinnati, 1996; M.S., 2001."
461,"McCullough, Michael P. (2008) Agribusiness",Professor,"B.S., Boise State University, 2003; M.S., Washington State University, 2007; Ph.D., 2008."
462,"McDaniel, Cole C. (2005) Architectural Engineering",Professor,"B.S., University of California, San Diego, 1996; M.S., 1997; Ph.D., 2002. Registered Civil Engineer, California."
463,"McDonald, Ashley (2013) Chemistry and Biochemistry",Associate Professor,"B.S., Mississippi College, 2004; Ph.D. Georgia Institute of Technology, 2009"
464,"McDonald, Margot K. (1992) Architecture",Professor,"B.A., B.S., University of California, Santa Barbara, 1980; M.Arch., University of Oregon, 1987. AIA, Registered Architect, Oregon. NCARB Certificate."
465,"McDonald, Casey (2020) Journalism",Assistant Professor,"B.S., Brigham Young University, Idaho, 2007; M.A., Brigham Young University, Utah, 2016; Ph.D, University of Florida, Gainesville, 2020."
466,"McFarlane, Zach (2018) Animal Science",Assistant Professor,"B.S., University of Arizona, 2013; M.S., University of Arizona, 2015; Ph.D., University of Tennessee, Knoxville, 2018."
467,"McGaughey, Karen J. (2003) Statistics",Professor,"B.A., Kansas State University, 1991; M.S., 1999; Ph.D., 2003."
468,"McLamore, Alyson (1991) Music",Professor,"B.A., University of California at Los Angeles, 1982; M.A., 1985; Ph.D., 1991."
469,"Mealy, Bryan J. (2003) Computer Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1990; M.S., 1993; M.S., University of California, Santa Cruz, 1999; Ph.D., 2002."
470,"Medina, Elsa (2000) Mathematics",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1994; M.S., 1996; Ph.D., University of Northern Colorado, 2000."
471,"Medizade, Mason (1984) Mechanical Engineering",Professor Emeritus (FERP),"B.S., Abadan Institute of Technology, 1978; M.S., University of Southern California, 1980; Ph.D., 1984."
472,"Mehiel, Eric A. (2004) College of Engineering, Aerospace Engineering",Professor,"B.S., University of California, Santa Barbara, 1998; M.S., University of Colorado, 2001; Ph.D., 2003."
473,"Mello, Joseph D. (1998) Mechanical Engineering",Professor,"B.S., California Polytechnic State University, 1983; M.S., 1989; Ph.D., University of California, Davis, 1996."
474,"Mendes, Anthony A. (2004) Mathematics",Professor,"B.S., University of California, Irvine, 2000; M.A., University of California, San Diego, 2001; Ph.D., 2004."
475,"Metcalf, Lynn E. (1986) Industrial Technology and Packaging",Professor,"B.A., University of Oregon, 1978; M.I.M., American Graduate School of International Management, 1981; Ph.D., University of South Carolina, 1986."
476,"Mewes, Matthew (2014) Physics",Associate Professor,"B.A., Concordia College, 1998; M.S., Indiana University 2004; Ph.D., 2004."
477,"Meyers, Joan (2017) Social Sciences",Associate Professor,"B.A., Cornell University, 1988; M.A., California State University, San Francisco, 1999; M.A., University of California, Davis, 2001; Ph.D., University of California, Davis, 2009."
478,"Migler, Theresa (2018) Computer Science",Assistant Professor,"B.S., Math, Cal Poly, 2004; M.S., Math, Cal Poly, 2007; M.S. CS, Oregon State, 2013; Ph.D. CS, Oregon State, 2014."
479,"Mike, Moses (2021) Agricultural Education and Communication",Assistant Professor,"B.S., University of the West Indies, Trinidad and Tobago, 2008; M.S., 2013; Ph.D., University of Florida, 2020"
480,"Miklowitz, Paul (1988) Philosophy",Professor Emeritus (FERP),"B.A., University of California, Santa Cruz, 1977; M.A., University of Chicago, 1979; M.Phil., Ph.D., Yale University, 1988."
481,"Miller, Charles (Tad) R. (1987) Accounting",Professor Emeritus (FERP),"B.A., College of Wooster, 1970; M.B.A., University of Arizona, 1980; Ph.D., 1987. Certified Public Accountant."
482,"Mitchell, David (2004) Physics, Liberal Studies",Professor,"B.S., George Washington University, 1998; M.A., University of California, San Diego, 2001; Ph.D., 2004."
483,"Mock, Rodney (2008) Accounting",Professor and Area Chair,"J.D., University of Oregon School of Law, 2002; L.L.M., University of Washington School of Law, 2004."
484,"Moelter, Matthew J. (1998) Physics",Professor,"B.S., University of California, Irvine, 1981; Sc.M., Brown University, 1983; Ph.D., 1989."
485,"Moore, Matthew J. (2006) Political Science",Professor,"B.A., Eugene Lang College, 1997; Ph.D., Johns Hopkins University, 2004."
486,"Moreno, J. Kelly (1991) Psychology and Child Development",Professor Emeritus,"B.S., University of California, Santa Barbara, 1980; M.S., University of Utah, 1985; Ph.D., 1988. Licensed Psychologist, California."
487,"Morris, Andrew D. (2000) History",Professor,"B.S., Harvey Mudd College, 1991; M.A., University of California, San Diego, 1996; Ph.D., 1998."
488,"Moss, Robb E. S. (2006) Civil and Environmental Engineering",Professor,"B.S., North Carolina State University, 1995; M.S., Utah State University, 1997; Ph.D., University of California, Berkeley, 2003. Registered Professional Engineer, California."
