,NAME,POSITION,EDUCATION
91,"Campbell, Brad (2007) English",Associate Professor,"B.A., St. Mary’s College of California, 1997; M.A., University of Illinois at Urbana-Champaign, 1999; Ph.D., 2007."
92,"Campbell, Tammy (2015) Chemistry and Biochemistry",Associate Professor,"B.S. University of California, Los Angeles 2001; M.S. San Francisco State University, 2004; Ph.D. California Institute of Technology, 2010"
93,"Campos Chillon, Fernando (2011) Animal Science",Professor,"B.S., California State Polytechnic University, Pomona, 1997; M.S., 2000; DVM, Colorado State University, 2004; Ph.D., 2009; Diplomate American College of Theriogenologists, 2009."
94,"Caplan, Lana Z (2016) Art and Design",Associate Professor,"B.A., Boston University, 1994; M.F.A., Massachusetts College of Art and Design, 2006."
95,"Cardinal, Kristen O'Halloran (2007) Biomedical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2003; Ph.D., University of Arizona, 2007."
96,"Cardinal, Trevor (2007) Biomedical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 2003; Ph.D., University of Arizona, 2007."
97,"Carlton, Matthew A. (1999) Statistics",Professor,"B.A., University of California, Berkeley, 1994; M.A., University of California, Los Angeles, 1996; Ph.D., 1999."
98,"Carr, Chris A. (1998) Accounting",Professor,"B.A., University of Nebraska, 1987; M.A., University of California, Los Angeles, 1998; J.D., Santa Clara University, 1990."
99,"Carrigan, Coleen M. (2014) Social Sciences",Associate Professor,"B.A., College of the Holy Cross, 1996; M.A., University of Washington, 2009; Ph.D., University of Washington, 2013."
100,"Carroll, Jennifer (2006) Chemistry and Biochemistry",Professor,"B.S., Sonoma State University, 1996; Ph.D., University of California, Santa Cruz, 2001."
101,"Carter, Amy (2007) Orfalea College of Business",Assistant Dean,"B.A., Chico State University, 2000. M.A., California Polytechnic State University, San Luis Obispo, 2007."
102,"Casassa, Luis Federico (2015) Wine and Viticulture",Associate Professor,"B.S., Cuyo National University, Mendoza, Argentina, 2004; M.S., 2007; Ph.D. Washington State University, 2013."
103,"Castro, Luis (2015) Food Science and Nutrition",Associate Professor,"B.S., University of Costa Rica, 2004; Licentiate, University of Costa Rica, 2006; M.S., Washington State University, 2009; Ph.D., Washington State University, 2013."
104,"Caughlin, David (2022) Management, HR, and Information Systems",Assistant Professor,"B.S., Indiana University, 2007; M.S. Indiana University, 2010; Ph.D., Portland State University, 2015 ."
105,"Chadwell, Charles (2003) College of Engineering, Civil and Environmental Engineering",Associate Dean and Professor,"B.S.,University of California, Berkeley, 1997; M.S., Univeristy of Berkeley, 1998; Ph.D., University of California, Berkeley, 2003. Registered Professional Engineer, California."
106,"Chamberlain, David (2017) Accounting",Assistant Professor,"J.D., University of Columbia, 1992, LL.M University of New York, 1993"
107,"Champney, Danielle (2013) Mathematics",Associate Professor,"B.S., Bowling Green State University, 2007; M.A., University of California, Berkeley, 2010; Ph.D., 2013."
108,"Chance, Beth L. (1999) Statistics",Professor,"B.S., Harvey Mudd College, 1990; M.S., Ph.D., Cornell University, 1994."
109,"Charalampidis, Stathis (2019) Mathematics",Assistant Professor,"B.S., Aristotle University of Thessaloniki, 2007; M.S., 2009; PhD., 2013."
110,"Chen, Sophia (2010) World Languages and Cultures",Professor,"Ph.D., Florida State University, 2007."
111,"Chen, John (2008) Mechanical Engineering",Professor,"B.S., University of Virginia, 1984; M.S., Stanford University, 1987; Ph.D., 1991."
112,"Chen, Leida (2014) Management, HR, and Information Systems",Professor and Area Chair,"M.B.A.,University of Central Arkansas, 1996; Ph.D., University of Memphis, 2000."
113,"Cheuk, Tina (2019) School of Education",Assistant Professor,"B.S., University of Chicago, 1999; M.A., University, 2007; Ph.D., Stanford University, 2019."
114,"Chiu, Yi-wen (2014) Natural Resources Management and Environmental Sciences",Associate Professor,"B.S., National Taiwan University, 1996; M.S., University of Minnesota, 2006; Ph.D., University of Minnesota, 2010."
115,"Choboter, Paul F. (2005) Mathematics",Professor,"B.Sc., Simon Fraser University, 1995; M.Sc., McGill University, 1997; Ph.D., University of Alberta, 2002."
116,"Choudhury, Gour (2011) Food Science and Nutrition",Professor Emeritus (FERP),"B.S., University of Gauhati, India, 1972; M.S., University of Mysore, India, 1977; Ph.D., University of Alberta, Canada, 1987."
117,"Christiansen, Jodi (2006) Physics",Professor,"B.A., Harvey Mudd College, 1985; M.S., University of Wisconsin, Madison, 1988; Ph.D., 1993."
118,"Clague, David (2007) Biomedical Engineering",Professor,"B.S., University of California, Santa Barbara, 1987; M.S., University of California, Davis, 1993; Ph.D., 1997."
119,"Clark, Robert D. (1998) Kinesiology and Public Health",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1992; M.S., Louisiana State University, 1996; Ph.D., 1998."
120,"Clay, Gary R. (1995) Landscape Architecture",Professor Emeritus (FERP),"B.L.A., Utah State University, 1974; M.L.A., University of Illinois, 1986; Ph.D., University of Arizona, 1996."
121,"Cleary, Joseph (2018) Construction Management",Assistant Professor,"B.S. Illinois State University, 1999; M.S. Illinois State University, 2010"
122,"Clement, Sandra L. (2011) Biological Sciences",Associate Professor,"B.S., Doane College, 1995; Ph.D., Michigan State University, 2004."
123,"Clements, John (2005) Computer Science",Professor,"B.A., Princeton University, 1996; M.S., Rice University, 2001; Ph.D., Northeastern University, 2005."
124,"Clemons, Ashley D. (2022) English",Assistant Professor,"B.A., Wayne State University, 2010; Ph.D., University of Florida, 2021."
125,"Clifford, Dale T. (2014) Architecture",Associate Professor,"B.Arch., Pratt Institute, 1993; M.S. Architectural Studies, Massachusetts Institute of Technology, 1999. Registered Architect, Arizona."
126,"Cobb, Richard (2017) Natural Resources Management and Environmental Sciences",Associate Professor,"B.S., Northern Arizona University, 1996; M.S., University of Maine, 2000; Ph.D., University of California Davis, 2010."
127,"Cole, Matthew (2015) Economics",Associate Professor,"B.S., University of Northern Iowa, 2001; M.S., University of Northern Iowa, 2003; Ph.D., University of Oregon, 2009."
128,"Conway-Silva, Bethany A. (2015) Communication Studies",Associate Professor,"B.A., University of New Mexico, 2007; M.A., University of Arizona, 2011; Ph.D., 2015."
129,"Costanzo, Philip (2007) Chemistry and Biochemistry",Professor,"B.S., Carnegie Mellon University, 2001; Ph.D., University of California, Davis, 2005."
130,"Costello, Enrica Lovaglio (2002) Art and Design",Professor,"M.A., University of California, Santa Barbara, 2001; M.F.A. equivalent, University of Studies of Genova, Italy, 1996."
131,"Costello, Michael J. (1999) Wine and Viticulture",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1981; Ph.D., University of California, Berkeley, 1992. Pest Control Advisor. Pest Control Advisor."
132,"Cravens, R.G. (2019) Political Science",Assistant Professor,"B.A., Sewanee: The University of the South, 2010; M.A., University of Tennessee, 2014; Ph.D., University of Tennessee, 2017"
133,"Crockett, Robert (2000) Biomedical Engineering",Professor,"B.S., University of California, Berkeley, 1989; M.B.A., Pepperdine University, 1992; Ph.D., University of Arizona, 1997."
134,"Crutchfield, Stephen A. (2015) School of Education",Associate Professor,"B.S., Missouri State University; 2005; M. Ed., The University of Kansas, 2010; Ph.D., The University of Kansas, 2014."
135,"da Silva, Bruno (2017) Computer Science",Assistant Professor,"B.S., Ruy Barbosa College, Brazil, 2005; M.S., Federal University of Rio Grande do Sul, Brazil, 2009; Ph.D., Federal University of Bahia, Brazil, 2015."
136,"Dandekar, Hemalata (2009) City and Regional Planning",Professor Emeritus (FERP),"B.Arch., University of Bombay, India, 1967; M.Arch, University of Michigan, 1969; Ph.D., University of California, Los Angeles, 1978. Registered Architect, California."
137,"Dang, Li (2007) Accounting",Professor,"Ph.D., Drexel University, 2004."
138,"Daniels, Denise H. (2003) Psychology and Child Development",Professor,"B.A., University of California, Santa Barbara, 1982; M.A., Pacific Oaks College, 1983; Ph.D., University of California, Los Angeles, 1992."
139,"Danowitz, Andrew R. (2014) Computer Engineering",Associate Professor,"B.S., Harvey Mudd College, Claremont, 2008; M.S., Stanford University, 2010; Ph.D., Stanford University, 2014."
140,"Dao, Linh (2020) Art and Design",Assistant Professor,"B.F.A., Truman State University, Kirksville, Missouri, 2013; M.F.A., University of Texas at Arlington, 2017."
141,"Davidson, Jean M. (2018) Biological Sciences",Assistant Professor,"B.S., University of California, Davis, 2005; Ph.D., University of North Carolina, Chapel Hill, 2012."
142,"Davis, Steven C. (1987) Kinesiology and Public Health",Professor,"B.S., University of California, Davis, 1979; M.S., San Diego State University, 1983; Ph.D., Pennsylvania State University, 1986."
143,"Davis, Brennan (2014) Marketing",Professor,"B.S. University of California, Los Angeles, 1992; M.B.A. University of Pennsylvania, 2003; Ph.D. University of California, Irvine, 2008."
144,"Davol, Andrew I. (1999) Mechanical Engineering",Professor,"B.S., California Polytechnic State University, San Luis Obispo, 1987; M.S., University of California, San Diego, 1993; Ph.D., 1998. Registered Professional Engineer, California."
145,"Day, Miran (2015) Landscape Architecture",Associate Professor,"B.S.L.A., Chonnam National University, South Korea, 1994; M.L.A., University of Illinois, 2011. Registered Landscape Architect, Florida and South Korea."
146,"de la Fuente, Javier (2013) Industrial Technology and Packaging",Associate Professor and Area Chair,"B.S., University of Buenos Aires, Argentina, 1998; M.S., Michigan State University, 2006; Ph.D., Michigan State University, 2013."
147,"De Lay, Ann M. (2008) Agricultural Education and Communication",Professor,"B.S., California State University, Fresno, 1997; M.S., California Polytechnic State University, San Luis Obispo, 2002; Ph.D., University of Florida, 2008."
148,"Deb, Nikhil (2022) Social Sciences",Assistant Professor,"B.S.S., Shahjalal University, Bangladesh, 2007; M.S.S., Shahjalal University, Bangladesh, 2008; M.A. Ohio University, 2015; Ph.D., University of Tennessee, 2019."
149,"DeBruhl, Bruce E. (2015) Computer Science, Computer Engineering",Associate Professor,"B.S. Kettering University, 2009; M.S. Carnegie Mellon University, 2013; Ph.D. 2015."
150,"Decock, Charlotte L.M. (2017) Natural Resources Management and Environmental Sciences, Horticulture and Crop Science",Assistant Professor,"B.S., UGENT, 2005; M.S., Ghent University, 2007; Ph.D., University of California Davis, 2012."
151,"Deffo, Arnold (2018) Aerospace Engineering",Assistant Professor,"B.S Wichita State, 2013; M.S.,California Institute of Technology, 2014; Ph.D., California Institute of Technology 2018"
152,"Deif, Ahmed (2014) Industrial Technology and Packaging",Associate Professor,"B.S., American University, Cairo, 1999; M.A.Sc, University of Windsor, Canada, 2003; Ph.D., University of Windsor, Canada, 2006."
